"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells","209/6158","233/10623",0.896995708154506,1.5473831451324,9.92142072407259,3.72716143896381e-27,1.29332501932044e-24,2.90326259456129e-25,"12839/78321/14200/12825/12832/17901/13346/12828/12835/53311/93689/13007/21952/21956/11931/27222/98660/54418/98386/64009/16773/68802/11735/12834/12833/16907/109272/13179/13008/16404/20742/24052/30794/380698/17883/544791/77579/11932/13808/12842/20391/16400/16480/16399/57778/17896/16416/192897/11465/20969/208846/319565/212073/70435/320910/11472/18073/109620/67399/13003/21828/109700/18074/59011/22330/21924/24131/17888/140781/24053/213019/56419/15529/20649/18810/17886/223697/14114/22379/16402/17880/67451/16419/667772/21826/12815/16772/17929/13506/13527/13367/58916/433182/16906/14119/170947/20743/11474/107765/54132/56642/18175/241226/22352/74103/12831/20740/17996/71409/16420/241431/16403/22138/16401/16410/17868/11464/21825/640524/12335/14118/20648/668940/98932/20971/21925/12841/381485/16905/21827/59069/213119/11928/229665/109674/12814/59006/118449/109676/56376/71355/22004/21894/21916/373864/14201/20970/433766/242702/15530/12345/13806/11603/58522/24051/17906/13717/77053/11461/12843/20392/12343/93677/68794/22793/11468/14115/74122/320502/13807/16651/21955/21954/12715/232975/233199/13009/11717/17907/21953/21957/12826/12827/17930/53318/12845/326618/20650/11459/16412/53867/319480/22003/70549/50875/11933/68553/13138/17897/104099/22437/67821/14199/12111/13726/13405/54004/94216/12830",209
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","255/6158","299/10623",0.852842809364548,1.47121616821689,9.70608385041764,4.49487820495117e-25,7.79861368559028e-23,1.75063677455993e-23,"26921/16177/13869/17164/13714/12292/18783/12290/14103/23797/63953/21808/68652/26408/67112/13637/17347/17873/26396/16000/67603/17311/19279/215449/13198/13867/13649/14172/26420/26397/23939/26398/216869/12928/216965/18099/18015/18053/12295/13866/72349/53859/17762/26406/12299/54377/140723/18750/26399/14784/20663/19042/17187/338372/18654/14281/21809/73086/11651/23882/14186/18212/17260/218397/19418/26401/14165/12294/12289/26419/14180/19057/14573/56274/11600/17869/18591/66513/11911/239556/29857/266632/12297/15370/26404/26413/12929/71751/16180/224105/20112/26407/30957/58226/19252/26416/26415/13163/15511/22339/20807/18188/19197/13640/240168/20662/225028/19043/26410/26405/14164/18596/12978/18018/19697/26403/56613/14102/12675/18034/240672/12296/12287/22030/12298/65964/11909/19099/22034/12064/19419/211429/329502/78390/271844/14178/13537/16175/16176/12531/11602/58231/14013/14173/76089/54635/13636/13639/18049/18176/109905/12977/13645/18033/19055/56692/18749/26409/21812/19059/21687/16476/17346/11876/53608/20111/16765/12540/12293/15234/14184/16542/13874/11839/14176/26414/330177/17165/15507/18590/14673/19353/14254/17295/109880/14701/13197/21802/110157/19713/12288/319734/21937/18205/64654/70686/16653/54378/19060/19698/21803/11652/269881/26411/233046/14256/56636/19259/16001/18479/109689/66922/18751/381921/14183/18218/14174/14170/16337/26400/11601/16150/14182/319520/80857/12367/22341/16478/18747/12286/100503710/18021/234878/71785/26940/15481/23938/26395/19417/114713/17532/235584/102626/56808/21813/11836/13712/75590/16179/192176/16151/80903/67071/110651/14205",255
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","179/6158","202/10623",0.886138613861386,1.52865386408729,8.90850148913752,5.7017427388998e-22,6.5950157679941e-20,1.48045250062661e-20,"12839/12828/12835/12043/329251/16782/226519/21960/329278/23797/12334/16780/16773/16775/14360/12834/12833/18717/16000/17931/215449/16404/13649/26420/12928/12842/16400/13866/16399/16416/18750/14784/192897/11465/19878/16777/11855/20663/109711/18654/11651/320910/238564/20418/21828/18708/109700/286940/22330/26419/14083/18591/170736/16402/13731/26413/12929/224105/16419/107589/56637/21826/18607/81877/22339/12445/22324/16772/67938/67268/20662/19877/16774/13367/18596/19045/12015/18719/19211/241226/22325/107746/23928/16420/16403/16401/16410/21825/214230/271849/241656/228785/98932/20779/16776/12841/18706/54635/21827/20416/18720/213119/109905/57257/13645/21894/21923/16476/18710/12540/18707/15234/19699/19046/16542/26414/15891/20750/19303/17906/19047/434233/59310/18590/11461/19353/14254/12843/12390/12389/17295/109880/22793/67653/12391/110157/22371/13730/232807/232906/22323/11652/70584/60595/16001/18479/16202/57342/18751/17907/330662/12443/12826/12827/22341/12845/18709/213435/12927/16412/71785/11797/11796/319480/26395/70549/19417/74769/68553/11848/104099/12387/13712/11798/192176/94216/12830/18481/14205",179
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","180/6158","204/10623",0.882352941176471,1.52212330206522,8.84275107801041,1.34726428210343e-21,1.16875176472472e-19,2.62361991778036e-20,"14369/14367/13869/22409/16147/13345/14733/329251/14103/23797/21808/13982/11735/26396/21859/16000/13179/17931/327826/17246/13867/12512/12323/13649/16160/22416/216795/72508/387140/12842/723893/13866/20848/57265/22415/16416/13207/18750/14784/11465/20969/19878/22160/20663/15251/11651/19206/13039/18708/12325/18792/22418/14365/14000/15529/14368/17869/14083/22422/29857/22408/75705/16402/83383/26413/16419/21844/22350/18607/16440/26416/26415/12575/22339/22324/20662/14370/19877/20890/15200/12322/17126/58988/19045/14102/74055/545291/22423/18569/22325/16410/12505/21825/20779/18803/20971/17395/18706/14173/24088/18176/22414/57257/108058/109676/18749/21898/20104/18710/20544/22417/12540/15530/56717/18707/14362/15234/19046/16542/15442/19303/19247/19047/434233/14371/11461/19353/12843/12390/12389/17295/22413/93735/319757/109880/67653/22421/16438/12391/110157/22419/15170/16653/16439/232807/18793/16801/21803/11652/16001/29875/14366/18479/22411/66922/18751/13043/12443/11733/14182/12367/18709/14388/18747/17390/234779/16412/69632/12402/69253/19684/26395/74769/17532/11848/12387/11836/13712/192176/17698",180
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection","285/6158","359/10623",0.793871866295265,1.36948698208097,8.36373576215332,2.3523400180204e-18,1.63252397250616e-16,3.66469813333705e-17,"108664/12839/20846/14369/12912/14367/22409/12828/12835/55927/56489/338375/19225/16782/226519/21960/329278/14103/23797/226849/16780/237336/16773/15214/15182/16775/12834/12833/26396/17246/56480/12567/20847/16404/13649/103806/19052/21414/16362/22416/216795/84653/13543/72508/12842/16400/11975/103733/16399/57265/22415/16416/12006/26941/14784/217325/192897/19719/68775/16777/59032/20663/26932/56217/73834/19164/19179/26931/22031/11651/320910/21752/21828/18708/109700/22418/16391/14365/71978/19645/19219/66335/14368/14083/105782/17305/328572/22422/22408/16402/12914/26413/13544/15205/13383/16419/56637/11964/15976/17857/17858/21826/51792/11984/22084/12005/11974/12018/12575/18131/14972/18132/81877/66237/14964/14980/15013/110557/110558/15007/15042/15040/100529082/667977/15043/14985/110696/224753/224754/224761/399549/22339/21770/12445/106759/16772/20662/74915/14370/16774/11789/20890/72930/18596/93687/27060/58988/19697/225849/12015/19211/14102/12675/22423/21416/241226/18128/64930/23928/16420/16403/16401/16410/26427/21825/16449/13555/19650/19668/58220/14683/16776/12841/15213/18759/18706/12428/433586/56458/21827/78284/213119/18129/18176/22414/13645/18033/18749/12448/74164/66290/21923/15977/230396/12695/16451/18710/114143/56198/433759/22417/12540/69116/56717/18707/15206/15207/18762/13542/12571/14362/19699/19744/269643/19664/15891/20750/19303/21871/14371/12843/22413/93735/66144/208647/140494/76252/231991/21415/22421/14924/101206/110157/22419/11973/107932/21937/22371/12576/16653/11652/12447/54131/22215/14366/23859/22411/52432/14082/12443/12826/12827/16150/13685/19053/142980/12367/12845/18709/18747/19651/11972/56513/93742/16412/270118/54721/73699/11920/18746/319480/26395/245000/74769/235542/68553/104099/12387/19054/27061/54411/16151/53310/94216/12830",285
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","367/6158","481/10623",0.762993762993763,1.31621999744767,8.3351289899509,5.72122141936935e-18,3.30877305420194e-16,7.42755061461985e-17,"12421/12859/226977/227058/100101919/627872/66495/14369/227197/14367/22409/22145/70247/67273/12043/12292/19225/14103/226641/66052/641376/226646/19165/12334/14816/26408/103199/215999/641340/22213/66043/75406/66594/26396/11783/66414/56480/69654/13198/407790/11947/66152/22433/12323/19324/78294/26420/22333/22272/14778/14799/22416/216795/237782/26397/29869/22187/327954/13543/67128/53313/18126/69077/12569/11951/26446/22123/56208/57265/22415/17762/19184/78943/66997/18750/12006/52639/26399/432611/14813/71679/69926/26443/19167/217695/19164/105000/19179/12313/110616/76559/16593/13411/70405/12671/20191/66694/22151/73710/20238/407785/12867/218460/17993/66413/12325/22334/105675/110083/22418/12289/110084/26419/67089/100504663/14365/19057/110082/12864/14368/67819/66218/66445/27373/54152/11911/67130/22422/29857/66725/22408/22143/22142/68118/67942/68015/26413/22195/18951/13544/21762/68194/56637/73916/11957/11820/20655/28080/50873/19170/68342/12005/12018/16440/26416/26415/13417/78330/66416/13163/13001/74764/271457/20463/12314/16573/14370/225326/11789/20890/67847/67665/12322/93687/67951/11946/16973/225887/17995/20743/12460/16594/19697/12333/329015/12015/18797/14682/14102/212398/22423/67264/54130/12369/71648/11949/12287/227613/14810/22030/14828/68375/19177/16574/21353/59029/228033/56791/68349/19182/51897/228361/12359/12064/213788/20192/18796/214585/16175/16176/19122/18795/18798/12995/84682/12048/66734/18803/56491/545486/67126/26444/56436/67414/66046/22065/73333/66377/67738/14800/19172/19185/18176/22414/11950/12977/26442/108058/56811/18033/19055/56228/73205/230075/68922/53598/18391/269523/19059/67305/595136/26445/22417/68943/67680/12371/21938/170731/56717/230908/57320/13542/14362/19181/12568/16193/15194/26414/22241/12861/18125/20239/11938/67151/22190/20907/14371/215114/74781/19353/20422/17992/22413/93735/68202/14763/109880/13063/20617/13666/330355/64704/13191/22421/16438/110157/12288/22419/12122/22144/21937/66108/16974/16653/22147/16439/66091/12315/53333/269881/20190/57296/12865/27412/50490/14366/68197/22411/381917/67003/70316/18751/11937/233871/12862/12869/14082/26400/22335/22428/11739/12367/22186/17274/66916/13000/17463/52335/12857/67443/22152/14802/12364/66925/12858/75600/26395/12866/75669/22273/12387/22201/11836/11740/53623/237038/15108",367
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","156/6158","181/10623",0.861878453038674,1.48680331384051,7.7573471701423,1.06762326151067e-16,4.64565218313306e-15,1.04285836964006e-15,"20353/17974/12168/13838/53972/12767/14270/13800/18845/14360/107449/13637/57764/54712/117600/16886/12323/20564/18208/237860/18750/238057/19878/12632/20354/107448/19206/218397/18708/12325/22418/218877/73181/14365/12934/19057/20356/14083/140570/223881/26413/13845/224105/20357/56637/117606/13837/19876/268902/18607/20359/13640/67938/67268/19877/20358/12322/319713/11854/12631/20562/226251/171171/11350/241568/214230/214968/241656/98932/20779/18803/58220/18019/18706/22065/22066/20351/13636/13639/20360/18176/269473/14679/80883/108058/19055/22253/12167/13841/19059/50780/18710/13844/13842/22417/12540/18707/18762/108151/20346/20349/20348/14677/12568/65254/231148/20563/13839/231637/19247/16885/19353/17295/192198/319757/243743/13848/67653/20355/18844/259302/110157/20315/22419/16653/70584/244058/20352/14159/18479/16202/13642/210801/18709/56513/18021/234779/93742/18186/16412/19649/69632/20361/18007/74769/17973/20187/20347/14678/20350/11848/235611/140571/18846/13641/18481",156
"Environmental Information Processing","Signal transduction","mmu04390","Hippo signaling pathway","139/6158","158/10623",0.879746835443038,1.51762757923212,7.69818943456848,1.07104373098168e-16,4.64565218313306e-15,1.04285836964006e-15,"14369/12168/14367/22409/14633/170788/209456/21808/16798/216033/16414/18016/103583/211652/19052/21414/22416/216795/13543/22627/57265/22415/12006/217325/11799/11465/104318/238057/22630/15902/64010/319710/56217/21809/12161/72293/71228/22418/12166/12159/16475/50523/14365/71978/56274/22631/14368/17869/105782/27373/22422/22408/20583/13544/13383/56637/51792/12005/21678/12445/14370/11789/20890/12385/14164/72930/17128/17131/17126/19045/22423/12234/21416/241324/15901/54401/58220/18759/97064/22414/16842/12167/242316/21812/12695/12164/12163/22417/18762/13542/14362/19046/22629/269643/68473/73246/11839/19047/434233/14371/22628/18787/11461/22413/93735/21415/12386/232157/22421/22419/21679/170770/21803/101543/21677/14366/23859/22411/21676/52432/12443/19053/17125/93960/56513/12550/93742/11797/11796/22601/73699/17127/12160/56289/21813/12387/29806/53310/27494",139
"Organismal Systems","Endocrine system","mmu04919","Thyroid hormone signaling pathway","110/6158","120/10623",0.916666666666667,1.58131698603443,7.52071641012077,1.48144909464527e-16,5.7118092871323e-15,1.28218985969298e-15,"17978/20846/18802/18640/11931/20183/27222/98660/23797/13982/15182/72472/18821/18641/216154/26396/17246/20185/11932/53313/327987/19014/23989/21833/72469/16416/18750/11465/17977/15251/13371/107585/11651/56421/18708/21834/12159/17888/140781/14463/67381/210789/69790/17869/328572/18642/12914/26413/56637/54720/18607/22084/18131/18132/53901/18519/12015/18797/74055/18128/20181/68975/16410/18796/18795/18798/20779/18803/17979/18706/56458/329650/18129/11928/18176/18749/13370/18710/20525/433759/20544/22417/12371/56717/18707/19744/76199/11938/11461/110157/58807/16653/232975/11652/18751/11937/12443/18709/18747/234779/234959/11936/20466/26395/11933/74769/12387/26896/67821/20502",110
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","300/6158","389/10623",0.77120822622108,1.33039054679223,7.79636146532909,5.45698007002521e-16,1.89357208429875e-14,4.25070026507227e-15,"12421/12859/227059/66495/14369/227197/14367/22409/22145/16367/70247/67273/12292/19225/226641/66052/226646/59287/23797/19165/12334/26408/215999/641340/66043/75406/66594/106947/26396/11783/66414/13198/407790/16971/11947/66152/22433/68585/26420/22333/22272/22416/216795/29869/13543/53313/18126/69077/12569/11951/26446/22123/56208/57265/22415/17762/19184/78943/66997/12006/52639/69806/14813/71679/11491/26443/19167/328133/19164/19179/12313/76559/16593/11651/70405/12671/66694/22151/73710/407785/12867/18708/17993/66413/22334/105675/22418/12289/26419/67089/100504663/214922/14365/19057/213053/12864/14368/66218/66445/27373/11911/67130/22422/22408/22143/22142/18174/68118/67942/26413/13544/21762/68194/56637/11957/11820/28080/56175/19170/68342/12005/16440/78330/66416/14977/13001/74764/20463/12314/16573/14370/106957/225326/11789/20890/93687/67951/11946/16973/225887/17995/16594/19697/12333/329015/12015/18797/20168/14682/14102/15925/212398/12675/22423/67264/12369/11949/277468/227613/14810/22030/68375/19177/16574/59029/228033/68349/19182/68427/51897/228361/213788/20192/18796/16175/16176/18795/18798/12995/84682/545486/67126/26444/56436/18706/66046/73333/66377/17380/67738/19172/19185/18176/22414/11950/12977/26442/56811/18033/67547/19055/230075/19059/18710/595136/26445/22417/67680/12371/56717/18707/13542/14362/19181/12568/16193/26414/22241/12861/18125/11938/67151/14371/74781/20422/17992/22413/93735/68202/109880/13063/20617/13666/22421/16438/110157/12288/22419/12122/14433/22144/21937/66108/16974/16653/22147/16439/66091/12315/11652/57296/12865/66340/27412/50490/14366/68197/22411/11785/67003/70316/11937/12862/12869/14082/16337/26400/384783/22335/16150/11739/12367/16956/18709/66916/13000/234664/17463/12857/22152/12364/23821/66925/12858/75600/26395/208117/68318/11487/12866/74769/75669/22273/12387/11836/11740/16151/237038/16370/15108",300
