query_id	subject_id	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bitscore	query_coverage	tax_id	species_name	blast_name	kingdom	description
NP_002469.2	ref|XP_063845982.1|	57.692	130	41	3	80	195	88	217	3.86e-33	134	36	85552	N/A	N/A	N/A	myogenin-like [Scylla paramamosain]
NP_002469.2	ref|XP_028925577.1|	38.843	242	117	6	28	266	2	215	6.03e-32	129	75	9258	N/A	N/A	N/A	myogenin [Ornithorhynchus anatinus]
NP_002469.2	ref|XP_010893885.2|	65.686	102	32	1	88	186	79	180	8.47e-32	129	31	8010	N/A	N/A	N/A	myogenin [Esox lucius]
NP_002469.2	ref|XP_018864545.1|	52.482	141	54	4	29	164	4	136	1.05e-31	127	43	9157	N/A	N/A	N/A	myogenin [Parus major]
NP_002469.2	ref|XP_056129561.1|	64.356	101	34	1	88	186	77	177	1.27e-31	129	31	2546036	N/A	N/A	N/A	myogenin [Lampris incognitus]
NP_002469.2	ref|XP_005530254.1|	51.773	141	61	3	26	164	1	136	1.31e-31	128	43	181119	N/A	N/A	N/A	PREDICTED: myogenin isoform X2 [Pseudopodoces humilis]
NP_002469.2	ref|XP_058711543.1|	51.773	141	61	3	26	164	1	136	1.38e-31	127	43	48891	N/A	N/A	N/A	myogenin isoform X3 [Poecile atricapillus]
NP_002469.2	ref|XP_058711541.1|	52.482	141	54	4	29	164	4	136	1.51e-31	129	43	48891	N/A	N/A	N/A	myogenin isoform X1 [Poecile atricapillus]
NP_002469.2	ref|XP_005530255.1|	52.482	141	54	4	29	164	4	136	1.80e-31	128	43	181119	N/A	N/A	N/A	PREDICTED: myogenin isoform X1 [Pseudopodoces humilis]
NP_002469.2	ref|XP_058711542.1|	52.482	141	54	4	29	164	4	136	2.07e-31	127	43	48891	N/A	N/A	N/A	myogenin isoform X2 [Poecile atricapillus]
NP_002469.2	ref|XP_075054271.1|	51.351	148	55	4	23	164	10	146	2.49e-31	128	44	3061075	N/A	N/A	N/A	myogenin [Mixophyes fleayi]
NP_002469.2	ref|XP_061074584.1|	44.444	198	85	6	83	274	64	242	3.78e-31	127	60	82655	N/A	N/A	N/A	myogenin [Conger conger]
NP_002469.2	ref|XP_072886473.1|	47.458	177	69	5	91	263	81	237	4.06e-31	128	54	2704970	N/A	N/A	N/A	myogenin [Hemitrygon akajei]
NP_002469.2	ref|XP_046191461.1|	57.500	120	47	2	88	205	79	196	4.48e-31	129	37	8017	N/A	N/A	N/A	myogenin isoform X1 [Oncorhynchus gorbuscha]
NP_002469.2	ref|XP_019401740.1|	37.190	242	124	6	28	266	2	218	4.76e-31	127	75	8502	N/A	N/A	N/A	PREDICTED: myogenin [Crocodylus porosus]
NP_002469.2	ref|XP_041748847.2|	66.327	98	31	1	91	186	82	179	5.11e-31	127	30	59861	N/A	N/A	N/A	myogenin-like [Coregonus clupeaformis]
NP_002469.2	ref|XP_014022308.2|	58.824	119	41	2	88	198	79	197	5.49e-31	127	35	8030	N/A	N/A	N/A	myogenin isoform X1 [Salmo salar]
NP_002469.2	ref|XP_029428472.1|	49.673	153	51	4	29	164	4	147	5.70e-31	127	43	194408	N/A	N/A	N/A	myogenin [Rhinatrema bivittatum]
NP_002469.2	ref|XP_006029709.1|	37.190	242	124	6	28	266	2	218	5.94e-31	127	75	38654	N/A	N/A	N/A	myogenin [Alligator sinensis]
NP_002469.2	ref|NP_002470.2|	50.350	143	60	4	23	164	4	136	6.51e-31	126	44	9600;9606	N/A;N/A	N/A	N/A	myogenin [Homo sapiens]
NP_002469.2	ref|XP_011787184.1|	50.350	143	60	4	23	164	4	136	6.93e-31	126	44	336983	N/A	N/A	N/A	PREDICTED: myogenin [Colobus angolensis palliatus]
NP_002469.2	ref|XP_010377122.1|	50.350	143	60	4	23	164	4	136	7.00e-31	126	44	61622	N/A	N/A	N/A	myogenin [Rhinopithecus roxellana]
NP_002469.2	ref|XP_038605546.1|	39.669	242	112	7	28	266	2	212	7.20e-31	126	75	9261	N/A	N/A	N/A	myogenin [Tachyglossus aculeatus]
NP_002469.2	ref|XP_062922560.1|	46.591	176	72	4	91	263	89	245	7.22e-31	127	54	723540	N/A	N/A	N/A	myogenin [Mobula hypostoma]
NP_002469.2	ref|XP_010766617.1|	63.366	101	35	1	88	186	77	177	7.33e-31	127	31	8208	N/A	N/A	N/A	myogenin [Notothenia coriiceps]
NP_002469.2	ref|XP_023042767.2|	50.350	143	60	4	23	164	4	136	7.54e-31	126	44	54180;591936	N/A;N/A	N/A	N/A	myogenin [Piliocolobus tephrosceles]
NP_002469.2	ref|XP_054378738.1|	50.350	143	60	4	23	164	29	161	7.83e-31	127	44	9601	N/A	N/A	N/A	myogenin [Pongo abelii]
NP_002469.2	ref|XP_023852258.1|	64.356	101	34	1	88	186	79	179	8.11e-31	127	31	2691554	N/A	N/A	N/A	myogenin [Salvelinus sp. IW2-2015]
NP_002469.2	ref|XP_055725561.1|	64.356	101	34	1	88	186	79	179	8.46e-31	127	31	8036;8038	N/A;N/A	N/A	N/A	myogenin [Salvelinus fontinalis]
NP_002469.2	ref|XP_017707043.1|	50.350	143	60	4	23	164	29	161	8.67e-31	127	44	61621	N/A	N/A	N/A	PREDICTED: myogenin isoform X1 [Rhinopithecus bieti]
NP_002469.2	ref|XP_017707044.1|	50.350	143	60	4	23	164	29	161	8.76e-31	127	44	61621	N/A	N/A	N/A	PREDICTED: myogenin isoform X2 [Rhinopithecus bieti]
NP_002469.2	ref|XP_035652783.2|	64.356	101	34	1	88	186	79	179	8.83e-31	127	31	8018	N/A	N/A	N/A	LOW QUALITY PROTEIN: myogenin [Oncorhynchus keta]
NP_002469.2	ref|XP_003823047.3|	50.350	143	60	4	23	164	29	161	8.86e-31	127	44	9595;9597;9598	N/A;N/A;N/A	N/A	N/A	myogenin [Pan paniscus]
NP_002469.2	ref|XP_029550050.1|	64.356	101	34	1	88	186	79	179	9.01e-31	127	31	8032	N/A	N/A	N/A	myogenin [Salmo trutta]
NP_002469.2	ref|XP_071351695.1|	57.983	119	46	2	88	202	77	195	9.08e-31	127	36	443729	N/A	N/A	N/A	myogenin [Trachinotus anak]
NP_002469.2	ref|XP_038872737.1|	64.356	101	34	1	88	186	70	170	9.49e-31	127	31	8040	N/A	N/A	N/A	LOW QUALITY PROTEIN: myogenin [Salvelinus namaycush]
NP_002469.2	ref|XP_029510847.2|	64.356	101	34	1	88	186	79	179	9.50e-31	127	31	8023	N/A	N/A	N/A	myogenin [Oncorhynchus nerka]
NP_002469.2	ref|XP_003264622.3|	50.350	143	60	4	23	164	29	161	9.53e-31	127	44	61853;81572	N/A;N/A	N/A	N/A	myogenin [Nomascus leucogenys]
NP_002469.2	ref|XP_055089520.1|	50.350	143	60	4	23	164	29	161	9.63e-31	127	44	9590	N/A	N/A	N/A	myogenin [Symphalangus syndactylus]
NP_002469.2	ref|NP_001117072.1|	64.356	101	34	1	88	186	79	179	1.00e-30	127	31	8030	N/A	N/A	N/A	myogenin [Salmo salar]
NP_002469.2	ref|XP_069095102.1|	45.143	175	75	2	88	262	80	233	1.12e-30	126	55	8319	N/A	N/A	N/A	myogenin isoform X1 [Pleurodeles waltl]
NP_002469.2	ref|XP_045392233.1|	45.455	176	76	6	23	192	4	165	1.16e-30	126	53	9447	N/A	N/A	N/A	myogenin [Lemur catta]
NP_002469.2	ref|XP_046191469.1|	64.356	101	34	1	88	186	79	179	1.19e-30	127	31	8017	N/A	N/A	N/A	myogenin isoform X2 [Oncorhynchus gorbuscha]
NP_002469.2	ref|XP_031721780.1|	63.366	101	35	1	88	186	77	177	1.28e-30	126	31	65739;433405	N/A;N/A	N/A	N/A	myogenin [Anarrhichthys ocellatus]
NP_002469.2	ref|XP_029907848.1|	63.366	101	35	1	88	186	77	177	1.31e-30	126	31	586833	N/A	N/A	N/A	myogenin [Myripristis murdjan]
NP_002469.2	ref|XP_031412804.1|	52.482	141	55	5	29	164	4	137	1.39e-30	124	43	9103	N/A	N/A	N/A	myogenin-like [Meleagris gallopavo]
NP_002469.2	ref|XP_064823294.1|	64.356	101	34	1	88	186	78	178	1.57e-30	126	31	90313	N/A	N/A	N/A	LOW QUALITY PROTEIN: myogenin [Oncorhynchus masou masou]
NP_002469.2	ref|XP_024282941.1|	64.356	101	34	1	88	186	79	179	1.63e-30	126	31	74940	N/A	N/A	N/A	myogenin [Oncorhynchus tshawytscha]
NP_002469.2	ref|XP_056590904.1|	57.265	117	49	1	87	202	79	195	1.66e-30	126	36	1582913	N/A	N/A	N/A	myogenin [Triplophysa dalaica]
NP_002469.2	ref|NP_001118199.1|	64.356	101	34	1	88	186	79	179	1.88e-30	126	31	8022;490388	N/A;N/A	N/A	N/A	myogenin [Oncorhynchus mykiss]
NP_002469.2	ref|XP_065505511.1|	47.305	167	78	4	29	191	4	164	1.94e-30	125	51	187106	N/A	N/A	N/A	myogenin [Caloenas nicobarica]
NP_002469.2	ref|XP_062271529.1|	62.376	101	36	1	88	186	77	177	2.00e-30	126	31	13677	N/A	N/A	N/A	myogenin [Scomber scombrus]
NP_002469.2	ref|XP_053172675.1|	62.376	101	36	1	88	186	77	177	2.02e-30	126	31	13676	N/A	N/A	N/A	myogenin [Scomber japonicus]
NP_002469.2	ref|XP_069797744.1|	45.355	183	76	5	91	269	78	240	2.07e-30	125	56	1343680	N/A	N/A	N/A	myogenin isoform X1 [Narcine bancroftii]
NP_002469.2	ref|XP_020338950.2|	64.356	101	34	1	88	186	78	178	2.15e-30	126	31	8019	N/A	N/A	N/A	LOW QUALITY PROTEIN: myogenin [Oncorhynchus kisutch]
NP_002469.2	ref|XP_006266147.1|	44.022	184	82	3	83	266	56	218	2.20e-30	125	58	8496	N/A	N/A	N/A	myogenin [Alligator mississippiensis]
NP_002469.2	ref|XP_042262799.1|	62.376	101	36	1	88	186	77	177	2.29e-30	125	31	8236;8237;8240	N/A;N/A;N/A	N/A	N/A	myogenin [Thunnus maccoyii]
NP_002469.2	ref|XP_063767613.1|	58.475	118	46	2	88	202	77	194	2.51e-30	125	36	56733	N/A	N/A	N/A	myogenin [Eleginops maclovinus]
NP_002469.2	ref|XP_065710537.1|	47.590	166	79	4	29	191	4	164	2.52e-30	125	51	372321	N/A	N/A	N/A	myogenin [Patagioenas fasciata]
NP_002469.2	ref|XP_059806671.1|	46.893	177	70	5	91	263	85	241	2.71e-30	125	54	79690	N/A	N/A	N/A	myogenin [Hypanus sabinus]
NP_002469.2	ref|XP_040059884.1|	58.475	118	46	2	88	202	77	194	2.73e-30	125	36	481459	N/A	N/A	N/A	myogenin [Gasterosteus aculeatus aculeatus]
NP_002469.2	ref|XP_021147097.2|	47.590	166	79	4	29	191	4	164	2.77e-30	125	51	8932	N/A	N/A	N/A	myogenin isoform X2 [Columba livia]
NP_002469.2	ref|XP_054472908.1|	62.376	101	36	1	88	186	77	177	2.82e-30	125	31	229290	N/A	N/A	N/A	myogenin [Anoplopoma fimbria]
NP_002469.2	ref|XP_061219173.1|	52.055	146	58	5	24	164	27	165	3.16e-30	125	44	309878	N/A	N/A	N/A	myogenin [Neopsephotus bourkii]
NP_002469.2	ref|XP_062324472.1|	64.356	101	33	2	88	185	77	177	3.22e-30	125	31	29151	N/A	N/A	N/A	myogenin [Osmerus eperlanus]
NP_002469.2	ref|XP_015815044.3|	60.577	104	39	1	85	186	72	175	3.26e-30	125	32	105023	N/A	N/A	N/A	myogenin [Nothobranchius furzeri]
NP_002469.2	ref|XP_055966642.1|	50.000	138	65	3	28	164	2	136	3.29e-30	124	43	62283	N/A	N/A	N/A	myogenin [Sorex fumeus]
NP_002469.2	ref|XP_033481604.1|	62.376	101	36	1	88	186	77	177	3.46e-30	125	31	310571	N/A	N/A	N/A	myogenin [Epinephelus lanceolatus]
NP_002469.2	ref|XP_067086488.1|	64.356	101	33	2	88	185	77	177	3.47e-30	125	31	8014	N/A	N/A	N/A	myogenin [Osmerus mordax]
NP_002469.2	ref|XP_077011892.1|	49.296	142	63	2	23	164	4	136	3.49e-30	124	44	48850	N/A	N/A	N/A	myogenin [Tamandua tetradactyla]
NP_002469.2	ref|XP_051664750.1|	43.646	181	82	5	29	207	4	166	3.64e-30	124	56	415023;415032	N/A;N/A	N/A	N/A	myogenin [Manacus candei]
NP_002469.2	ref|XP_057218122.1|	57.265	117	49	1	87	202	79	195	3.77e-30	125	36	992332	N/A	N/A	N/A	myogenin [Triplophysa rosa]
