query_id	subject_id	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bitscore	query_coverage	tax_id	species_name	blast_name	kingdom	description
NP_002469.2	ref|XP_036614413.1|	46.667	300	110	7	21	320	7	256	7.51e-74	238	94	9337	N/A	N/A	N/A	myogenic factor 5 [Trichosurus vulpecula]
NP_002469.2	ref|XP_044534367.1|	46.667	300	110	7	21	320	7	256	4.13e-73	236	94	191870	N/A	N/A	N/A	myogenic factor 5 [Gracilinanus agilis]
NP_002469.2	ref|XP_072506525.1|	46.689	302	107	8	21	320	7	256	6.73e-73	236	94	9315	N/A	N/A	N/A	myogenic factor 5 [Notamacropus eugenii]
NP_002469.2	ref|XP_027698261.1|	46.333	300	111	7	21	320	7	256	1.81e-72	234	94	29139	N/A	N/A	N/A	myogenic factor 5 [Vombatus ursinus]
NP_002469.2	ref|XP_020849173.1|	46.333	300	111	7	21	320	7	256	2.88e-72	234	94	38626	N/A	N/A	N/A	myogenic factor 5 [Phascolarctos cinereus]
NP_002469.2	ref|XP_043823822.1|	47.000	300	109	8	21	320	7	256	3.15e-72	234	94	33562	N/A	N/A	N/A	myogenic factor 5 [Dromiciops gliroides]
NP_002469.2	ref|XP_001363986.1|	46.333	300	111	7	21	320	7	256	3.55e-72	234	94	13616	N/A	N/A	N/A	myogenic factor 5 [Monodelphis domestica]
NP_002469.2	ref|XP_038612809.1|	47.333	300	108	7	21	320	7	256	1.55e-71	232	94	9261	N/A	N/A	N/A	myogenic factor 5 [Tachyglossus aculeatus]
NP_002469.2	ref|XP_074076906.1|	46.333	300	111	8	21	320	7	256	2.70e-71	231	94	92651	N/A	N/A	N/A	myogenic factor 5 [Macrotis lagotis]
NP_002469.2	ref|XP_001505422.1|	47.333	300	108	7	21	320	7	256	2.79e-71	231	94	9258	N/A	N/A	N/A	myogenic factor 5 [Ornithorhynchus anatinus]
NP_002469.2	ref|XP_067146025.1|	50.923	271	90	7	21	291	7	234	3.18e-71	231	85	2696672	N/A	N/A	N/A	myogenic factor 5 [Apteryx mantelli]
NP_002469.2	ref|XP_051856106.1|	45.695	302	110	8	21	320	7	256	4.40e-71	231	94	38775	N/A	N/A	N/A	myogenic factor 5 [Antechinus flavipes]
NP_002469.2	ref|XP_069084870.1|	53.725	255	82	7	21	273	7	227	4.75e-71	231	79	8319	N/A	N/A	N/A	myogenic factor 5 [Pleurodeles waltl]
NP_002469.2	ref|XP_005519453.1|	48.344	302	104	9	21	320	7	258	4.95e-71	231	94	181119	N/A	N/A	N/A	PREDICTED: myogenic factor 5 [Pseudopodoces humilis]
NP_002469.2	ref|XP_068950895.1|	45.033	302	112	8	21	320	7	256	5.01e-71	231	94	3040969	N/A	N/A	N/A	myogenic factor 5 [Petaurus breviceps papuanus]
NP_002469.2	ref|XP_056425372.1|	51.210	248	90	6	21	267	7	224	5.77e-71	231	77	327740	N/A	N/A	N/A	myogenic factor 5 [Hyla sarda]
NP_002469.2	ref|XP_056372116.1|	48.013	302	105	9	21	320	7	258	7.98e-71	230	94	2939378	N/A	N/A	N/A	myogenic factor 5 [Oenanthe melanoleuca]
NP_002469.2	ref|XP_003770997.1|	45.695	302	110	8	21	320	7	256	1.11e-70	230	94	9305	N/A	N/A	N/A	myogenic factor 5 [Sarcophilus harrisii]
NP_002469.2	ref|XP_074123825.1|	45.667	300	113	7	21	320	7	256	1.45e-70	229	94	9301	N/A	N/A	N/A	myogenic factor 5 [Sminthopsis crassicaudata]
NP_002469.2	ref|XP_028610386.1|	46.358	302	107	9	21	320	7	255	1.45e-70	229	94	491861	N/A	N/A	N/A	myogenic factor 5 [Grammomys surdaster]
NP_002469.2	ref|XP_075455071.1|	46.844	301	109	8	21	320	7	257	1.71e-70	229	94	8439	N/A	N/A	N/A	myogenic factor 5 [Ascaphus truei]
NP_002469.2	ref|XP_025915962.1|	50.923	271	90	7	21	291	7	234	1.74e-70	231	85	308060	N/A	N/A	N/A	myogenic factor 5 [Apteryx rowi]
NP_002469.2	ref|XP_038011138.1|	47.682	302	106	9	21	320	7	258	2.01e-70	229	94	1094192	N/A	N/A	N/A	myogenic factor 5 [Motacilla alba alba]
NP_002469.2	ref|XP_021383749.1|	48.013	302	105	9	21	320	7	258	2.01e-70	229	94	40157	N/A	N/A	N/A	myogenic factor 5 [Lonchura striata]
NP_002469.2	ref|XP_062469618.1|	50.769	260	96	6	21	279	7	235	2.03e-70	229	81	407982	N/A	N/A	N/A	myogenic factor 5 [Pezoporus occidentalis]
NP_002469.2	ref|XP_023788459.1|	47.368	304	104	8	21	320	7	258	2.07e-70	229	94	156563	N/A	N/A	N/A	myogenic factor 5 [Cyanistes caeruleus]
NP_002469.2	ref|XP_064313774.1|	52.874	261	89	8	21	279	7	235	2.28e-70	229	81	9209;126867	N/A;N/A	N/A	N/A	myogenic factor 5 [Phalacrocorax carbo]
NP_002469.2	ref|XP_062424037.1|	53.750	240	83	5	21	260	7	218	2.29e-70	229	75	8795	N/A	N/A	N/A	myogenic factor 5 [Rhea pennata]
NP_002469.2	ref|XP_015482416.1|	48.013	302	105	9	21	320	7	258	2.55e-70	229	94	9157;48891	N/A;N/A	N/A	N/A	myogenic factor 5 [Parus major]
NP_002469.2	ref|XP_042648718.1|	52.672	262	90	8	21	280	7	236	3.30e-70	229	81	56313	N/A	N/A	N/A	myogenic factor 5 [Tyto alba]
NP_002469.2	ref|XP_058661832.1|	47.682	302	106	9	21	320	7	258	3.76e-70	229	94	2857394;2857398	N/A;N/A	N/A	N/A	myogenic factor 5 [Ammospiza caudacuta]
NP_002469.2	ref|XP_050180701.1|	52.490	261	90	8	21	279	7	235	3.80e-70	229	81	478635	N/A	N/A	N/A	myogenic factor 5 [Myiozetetes cayanensis]
