query_id	subject_id	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bitscore	query_coverage	tax_id	species_name	blast_name	kingdom	description
NP_002469.2	ref|NP_002469.2|	100.000	320	0	0	1	320	1	320	0.0	647	100	9606;61853;81572	N/A;N/A;N/A	N/A	N/A	myoblast determination protein 1 [Homo sapiens]
NP_002469.2	ref|XP_055137280.1|	99.688	320	1	0	1	320	1	320	0.0	645	100	9590	N/A	N/A	N/A	myoblast determination protein 1 [Symphalangus syndactylus]
NP_002469.2	ref|XP_003818264.1|	99.688	320	1	0	1	320	1	320	0.0	645	100	9597	N/A	N/A	N/A	myoblast determination protein 1 [Pan paniscus]
NP_002469.2	ref|XP_508311.2|	99.375	320	2	0	1	320	1	320	0.0	644	100	9598	N/A	N/A	N/A	myoblast determination protein 1 [Pan troglodytes]
NP_002469.2	ref|XP_004050817.1|	99.375	320	2	0	1	320	1	320	0.0	641	100	9595	N/A	N/A	N/A	myoblast determination protein 1 [Gorilla gorilla gorilla]
NP_002469.2	ref|XP_002822038.2|	98.438	320	4	1	1	320	1	319	0.0	632	100	9600;9601	N/A;N/A	N/A	N/A	myoblast determination protein 1 [Pongo abelii]
NP_002469.2	ref|XP_008003449.1|	97.812	320	6	1	1	320	1	319	0.0	627	100	60711	N/A	N/A	N/A	myoblast determination protein 1 [Chlorocebus sabaeus]
NP_002469.2	ref|XP_010368447.1|	97.500	320	7	1	1	320	1	319	0.0	626	100	61622	N/A	N/A	N/A	myoblast determination protein 1 [Rhinopithecus roxellana]
NP_002469.2	ref|XP_017725320.1|	97.500	320	7	1	1	320	1	319	0.0	625	100	61621;591936	N/A;N/A	N/A	N/A	PREDICTED: myoblast determination protein 1 [Rhinopithecus bieti]
NP_002469.2	ref|XP_003910212.1|	97.500	320	7	1	1	320	1	319	0.0	624	100	9531;9555;9565;9568	N/A;N/A;N/A;N/A	N/A	N/A	myoblast determination protein 1 [Papio anubis]
NP_002469.2	ref|XP_033062255.1|	97.188	320	8	1	1	320	1	319	0.0	622	100	54180	N/A	N/A	N/A	myoblast determination protein 1 [Trachypithecus francoisi]
NP_002469.2	ref|XP_005578540.1|	96.875	320	9	1	1	320	1	319	0.0	621	100	9541;9544;9545;257877	N/A;N/A;N/A;N/A	N/A	N/A	myoblast determination protein 1 [Macaca fascicularis]
NP_002469.2	ref|XP_011792830.1|	96.562	320	10	1	1	320	1	319	0.0	620	100	336983	N/A	N/A	N/A	PREDICTED: myoblast determination protein 1 [Colobus angolensis palliatus]
NP_002469.2	ref|XP_032096791.1|	95.625	320	13	1	1	320	1	319	0.0	615	100	9515	N/A	N/A	N/A	myoblast determination protein 1 [Sapajus apella]
NP_002469.2	ref|XP_012311807.2|	95.312	320	14	1	1	320	1	319	0.0	613	100	37293	N/A	N/A	N/A	myoblast determination protein 1 [Aotus nancymaae]
NP_002469.2	ref|XP_002755055.2|	95.312	320	14	1	1	320	1	319	0.0	611	100	9483	N/A	N/A	N/A	myoblast determination protein 1 [Callithrix jacchus]
NP_002469.2	ref|XP_008573676.1|	93.125	320	21	1	1	320	1	319	0.0	598	100	482537	N/A	N/A	N/A	PREDICTED: myoblast determination protein 1 [Galeopterus variegatus]
NP_002469.2	ref|XP_015333163.1|	91.875	320	24	2	1	320	1	318	0.0	585	100	9994;9995;93162	N/A;N/A;N/A	N/A	N/A	myoblast determination protein 1 [Marmota marmota marmota]
NP_002469.2	ref|XP_076700360.1|	91.562	320	25	2	1	320	1	318	0.0	584	100	76772	N/A	N/A	N/A	myoblast determination protein 1 [Callospermophilus lateralis]
NP_002469.2	ref|XP_026254765.1|	91.562	320	25	2	1	320	1	318	0.0	584	100	9999	N/A	N/A	N/A	myoblast determination protein 1 [Urocitellus parryii]
NP_002469.2	ref|XP_004752135.1|	90.625	320	29	1	1	320	1	319	0.0	583	100	9666;9669	N/A;N/A	N/A	N/A	myoblast determination protein 1 [Mustela putorius furo]
NP_002469.2	ref|XP_044116846.1|	90.625	320	29	1	1	320	1	319	0.0	583	100	452646	N/A	N/A	N/A	myoblast determination protein 1 [Neogale vison]
NP_002469.2	ref|XP_062949990.1|	94.688	320	16	1	1	320	1	319	0.0	583	100	110931	N/A	N/A	N/A	myoblast determination protein 1 [Cynocephalus volans]
NP_002469.2	ref|XP_022363449.1|	90.312	320	30	1	1	320	1	319	0.0	582	100	391180	N/A	N/A	N/A	myoblast determination protein 1 [Enhydra lutris kenyoni]
NP_002469.2	ref|XP_059244716.1|	90.312	320	30	1	1	320	1	319	0.0	582	100	77151	N/A	N/A	N/A	myoblast determination protein 1 [Mustela nigripes]
NP_002469.2	ref|XP_032737003.1|	90.312	320	30	1	1	320	1	319	0.0	581	100	76717	N/A	N/A	N/A	myoblast determination protein 1 [Lontra canadensis]
