query_id	subject_id	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bitscore	query_coverage	tax_id	species_name	blast_name	kingdom	description
NP_002469.2	ref|XP_068929266.1|	72.673	333	66	4	1	320	1	321	2.31e-161	462	100	3040969	N/A	N/A	N/A	myoblast determination protein 1 [Petaurus breviceps papuanus]
NP_002469.2	ref|XP_020860904.1|	73.089	327	75	3	1	320	1	321	1.48e-159	458	100	38626	N/A	N/A	N/A	myoblast determination protein 1 [Phascolarctos cinereus]
NP_002469.2	ref|XP_044536920.1|	72.171	327	78	3	1	320	1	321	2.84e-158	455	100	191870	N/A	N/A	N/A	myoblast determination protein 1 [Gracilinanus agilis]
NP_002469.2	ref|XP_003773606.1|	74.006	327	72	3	1	320	1	321	1.57e-155	448	100	9305	N/A	N/A	N/A	myoblast determination protein 1 [Sarcophilus harrisii]
NP_002469.2	ref|XP_001378555.1|	72.171	327	78	3	1	320	1	321	5.89e-154	444	100	13616	N/A	N/A	N/A	myoblast determination protein 1 [Monodelphis domestica]
NP_002469.2	ref|XP_036621421.1|	72.372	333	67	4	1	320	1	321	3.25e-153	442	100	9337	N/A	N/A	N/A	myoblast determination protein 1 isoform X2 [Trichosurus vulpecula]
NP_002469.2	ref|XP_051821089.1|	73.394	327	74	3	1	320	1	321	1.04e-152	441	100	38775	N/A	N/A	N/A	myoblast determination protein 1 [Antechinus flavipes]
NP_002469.2	ref|XP_036621420.1|	72.372	333	67	4	1	320	94	414	1.63e-152	444	100	9337	N/A	N/A	N/A	myoblast determination protein 1 isoform X1 [Trichosurus vulpecula]
NP_002469.2	ref|XP_043827928.1|	72.783	327	76	3	1	320	1	321	2.45e-151	437	100	33562	N/A	N/A	N/A	myoblast determination protein 1 [Dromiciops gliroides]
NP_002469.2	ref|XP_027708317.1|	72.477	327	77	3	1	320	1	321	1.13e-150	436	100	29139	N/A	N/A	N/A	myoblast determination protein 1 [Vombatus ursinus]
