0_0: NP_001035568.2
0_1: NP_776541.1
0_2: XP_027399073.1
1_0: XP_025295133.1
1_1: XP_025295134.1
1_2: XP_025315455.1
2_0: NP_571337.2
2_1: NP_571651.1
2_2: NP_958496.4
2_3: XP_073802758.1
3_0: NP_001025534.2
3_1: NP_989515.1
3_2: NP_989545.3
4_0: NP_002469.2
4_1: NP_002470.2
4_2: NP_005584.2
5_0: NP_032682.1
5_1: NP_034996.2
6_0: XP_004069199.1
6_1: XP_004069479.1
6_2: XP_011489557.1
6_3: XP_011489559.1
6_4: XP_023807068.1
6_5: XP_023807072.1
7_0: NP_001117026.1
7_1: NP_001117072.1
7_2: NP_001117073.1
7_3: NP_001117079.1
7_4: NP_001117109.1
7_5: NP_001117116.1
7_6: XP_014008915.2
7_7: XP_014022308.2
7_8: XP_014032073.1
7_9: XP_014063830.1
8_0: NP_001027941.1
8_1: NP_001027942.1
8_2: NP_001027943.1
8_3: NP_001035151.1
8_4: XP_056877834.1
8_5: XP_056878323.1
8_6: XP_056878330.1
8_7: XP_056907047.1
9_0: NP_001079199.1
9_1: NP_001079326.1
9_2: NP_001079366.1
9_3: NP_001081292.1
9_4: NP_001081477.1
9_5: NP_001088572.1
9_6: NP_001095249.1
9_7: XP_018111522.1
9_8: XP_041440931.1
10_0: NP_001016725.1
10_1: NP_001017160.1
10_2: NP_988932.1
10_3: NP_988972.1
10_4: XP_012814547.1
